collection_id,collection_title,transcript_id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
brooklyn-public,Brooklyn Public Library,olando-lunnon-0001,Olando Lunnon,"Olando Lunnon is interviewed by Taina Evans at the New Lots Library on August 29th, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/olando-lunnon,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/olando-lunnon-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/olando-lunnon-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/olando-lunnon-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/olando-lunnon-0001.json
brooklyn-public,Brooklyn Public Library,laura-mccarther-lisa-jackson-0001,Laura McCarther Wright and Lisa Jackson,"Laura McCarther Wright and Lisa Jackson are interviewed by Taina Evans at the New Lots Library on August 29th, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/laura-mccarther-wright-lisa-jackson,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/laura-mccarther-lisa-jackson-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/laura-mccarther-lisa-jackson-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/laura-mccarther-lisa-jackson-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/laura-mccarther-lisa-jackson-0001.json
brooklyn-public,Brooklyn Public Library,susan-frazier-0001,Susan Frazier,"Susan Frazier is interviewed by Taina Evans at the Clinton Hill Library on November 21st, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/susan-frazier,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/susan-frazier-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/susan-frazier-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/susan-frazier-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/susan-frazier-0001.json
brooklyn-public,Brooklyn Public Library,maggie-stokkeland-0001,Maggie Stokkeland,"Maggie Stokkeland is interviewed by Emma Clark at the Dyker Library on February 19th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/maggie-stokkeland,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/maggie-stokkeland-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/maggie-stokkeland-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/maggie-stokkeland-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/maggie-stokkeland-0001.json
brooklyn-public,Brooklyn Public Library,rose-gordon-0001,Rose Gordon,"Rose Gordon is interviewed by Emma Clark at the Dyker Library on February 19th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/rose-gordon,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/rose-gordon-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/rose-gordon-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/rose-gordon-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/rose-gordon-0001.json
brooklyn-public,Brooklyn Public Library,terry-miranda-0001,Terry Miranda,"Terry Miranda is interviewed by Emma Clark at the Dyker Library on February 19th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/terry-miranda,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/terry-miranda-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/terry-miranda-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/terry-miranda-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/terry-miranda-0001.json
brooklyn-public,Brooklyn Public Library,richard-isaacson-0001,Richard Isaacson,"Richard Isaacson is interviewed by Lauren Fiorelli at the Park Slope Library on February 20th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/richard-isaacson,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/richard-isaacson-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/richard-isaacson-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/richard-isaacson-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/richard-isaacson-0001.json
brooklyn-public,Brooklyn Public Library,joyce-jed-0001,Joyce Jed,"Joyce Jed is interviewed by Lauren Fiorelli at the Park Slope Library on February 20th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/joyce-jed,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/joyce-jed-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/joyce-jed-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/joyce-jed-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/joyce-jed-0001.json
brooklyn-public,Brooklyn Public Library,joseph-nelson-0001,Joseph Nelson,"Joseph Nelson is interviewed by Lauren Fiorelli at the Dyker Library on January 29th, 2016 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/joseph-nelson,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/joseph-nelson-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/joseph-nelson-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/joseph-nelson-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/joseph-nelson-0001.json
brooklyn-public,Brooklyn Public Library,barbara-hopson-0001,Barbara Hopson,"Barbara Hopson is interviewed by Brian Hasbrouck at the New Lots Library on June 9th, 2015 for Our Streets, Our Stories.",https://soundcloud.com/ososproject/barbara-hopson,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/audio/barbara-hopson-0001.mp3,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/text/barbara-hopson-0001.text,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/vtt/barbara-hopson-0001.vtt,https://github.com/nypl-openaudio/data-brooklyn-public-library/raw/master/transcripts/json/barbara-hopson-0001.json
